-128.0	-213.44	17599.2
-280.16	7270.08	15949.6
-46.08	9391.68	14662.24
-358.08	11162.08	13264.32
-298.08	11998.72	12443.2
-394.4	12712.16	11691.68
-359.52	13627.52	10420.96
-397.76	14159.2	9608.96
-441.6	14833.12	8366.08
-469.28	15429.28	6993.28
-435.68	15782.72	5983.52
-494.08	15852.0	5791.52
-500.64	16176.96	4439.68
-482.08	16351.68	3492.0
-513.44	16460.64	2265.76
-21.6	8.8	17603.84
7113.76	507.36	16109.28
9004.0	678.56	15070.88
9895.6	802.24	14204.48
11439.2	928.0	13231.52
12296.64	991.52	12337.44
12911.04	1034.4	11657.92
13291.36	1137.44	10386.72
14484.96	1185.28	9320.0
15171.84	1277.92	7984.32
15709.44	1321.76	6878.4
15988.16	1361.92	5896.16
16338.88	1372.96	4516.64
16456.16	1403.84	3621.6
16611.84	1493.76	2423.04
317.76	-310.56	17616.16
-6962.72	-111.2	15913.44
-8668.8	-63.2	14959.04
-10020.48	-50.72	13917.44
-11182.72	-73.28	12961.12
-11139.36	-83.68	12968.48
-11056.16	-64.16	12066.88
-12593.92	-64.48	11348.64
-13550.24	-55.04	10024.96
-14168.32	-21.28	8998.72
-14808.16	-63.2	7655.2
-15250.24	-54.88	6571.68
-15558.24	-19.84	5552.0
-15905.12	-17.44	4156.32
-16042.72	-18.88	3295.36
222.08	-140.16	17633.76
-73.76	7144.64	15995.68
-210.88	8874.08	15080.96
-353.92	10253.76	14016.64
-394.56	11323.2	13105.6
-487.36	12274.72	12166.4
-479.2	12872.8	11425.28
-538.88	13805.28	10152.0
-588.16	14440.0	9119.04
-595.68	15104.0	7832.96
-637.76	15554.72	6697.12
-607.84	15873.12	5622.4
-642.24	16208.96	4270.56
-600.16	16378.88	3381.92
-633.28	16488.48	2243.36
-1038.88	247.68	-15524.0
-1161.76	7489.28	-13742.72
-996.16	9156.32	-12712.16
-933.76	10510.88	-11801.28
-884.8	11591.04	-10734.88
-522.72	12695.04	-9609.76
-657.12	12621.28	-9680.64
-720.16	13054.24	-9140.0
-602.4	14070.56	-7665.28
-529.12	14607.2	-6755.36
-478.56	15216.16	-5465.28
-369.28	15643.68	-4400.0
-325.28	15946.4	-3378.72
-247.36	16272.48	-2012.32
-237.12	16417.76	-1064.48
-7.84	16519.52	183.04
-1308.48	107.68	-15475.2
-8196.32	-174.08	-13227.36
-9995.84	-59.2	-11928.48
-11266.4	-28.8	-10852.16
-12228.48	-39.04	-9783.36
-13004.48	-8.48	-8801.6
-13530.72	4.16	-8041.12
-14357.6	-28.96	-6554.88
-14839.04	-52.0	-5595.84
-15371.36	-4.96	-4208.0
-15713.28	-20.64	-3059.04
-15927.84	-2.88	-1999.2
-15533.28	-120.32	-685.92
-16208.96	-1.6	501.12
-16214.72	-13.44	1451.68
-1624.96	-38.08	-14862.56
5598.08	-36.48	-14681.92
7474.08	-136.8	-13896.48
8963.84	-276.96	-13073.44
10119.36	-276.32	-12267.52
11113.12	-359.84	-11463.36
11786.24	-445.44	-10819.52
12943.04	-565.12	-9604.64
13602.24	-586.08	-8667.36
14371.36	-625.76	-7484.8
14929.44	-958.56	-6505.6
15425.28	-765.6	-5399.36
15892.16	-718.24	-4166.56
16108.8	-877.12	-3161.28
16415.52	-1001.12	-2107.84
536.32	-525.76	-15526.72
622.72	6509.28	-14228.96
690.08	8572.64	-13146.24
728.8	9892.32	-12252.0
788.96	11026.56	-11354.88
786.56	11915.68	-10459.2
808.64	12573.6	-9759.68
815.36	13586.4	-8433.12
837.28	14189.6	-7519.68
906.08	14889.44	-6165.76
884.64	15351.36	-5116.16
906.88	15708.64	-4157.92
932.48	16124.8	-2767.84
1045.92	16256.64	-1926.88
995.2	16439.68	-826.08
