seconds_elapsed,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
5.63,0.15,-0.50,-9.14,0.00,0.00,-0.00
5.68,0.12,-0.52,-9.12,0.02,0.01,-0.00
5.74,0.14,-0.50,-9.11,0.01,0.01,-0.01
5.79,0.13,-0.49,-9.16,0.01,0.00,-0.00
5.85,0.13,-0.50,-9.10,0.01,0.00,-0.01
5.90,0.13,-0.50,-9.14,0.02,0.00,-0.01
5.96,0.12,-0.49,-9.10,0.02,0.00,-0.01
6.01,0.13,-0.49,-9.13,0.01,0.00,-0.00
6.07,0.12,-0.50,-9.12,0.02,0.01,-0.00
6.13,0.13,-0.53,-9.15,0.01,0.01,-0.00
6.18,0.13,-0.49,-9.12,0.02,0.00,-0.01
6.24,0.14,-0.52,-9.14,0.01,-0.00,-0.01
6.29,0.13,-0.46,-9.17,0.01,0.00,-0.01
6.35,0.11,-0.49,-9.12,0.01,0.01,-0.01
6.40,0.11,-0.52,-9.11,0.01,0.00,-0.01
6.46,0.11,-0.47,-9.15,0.01,0.00,-0.01
6.52,0.12,-0.49,-9.11,0.01,0.00,-0.01
6.57,0.14,-0.49,-9.14,0.02,0.01,-0.01
6.63,0.11,-0.51,-9.12,0.02,0.00,-0.00
6.68,0.11,-0.49,-9.12,0.02,0.00,-0.01
6.74,0.13,-0.48,-9.13,0.01,0.00,-0.01
6.79,0.12,-0.48,-9.15,0.03,0.01,-0.01
6.85,0.13,-0.51,-9.11,0.01,0.00,-0.01
6.91,0.14,-0.52,-9.12,0.02,0.00,-0.01
6.96,0.12,-0.50,-9.14,0.01,0.00,-0.01
7.02,0.12,-0.49,-9.12,0.02,0.01,-0.01
7.07,0.11,-0.48,-9.16,0.02,0.01,-0.01
7.13,0.11,-0.49,-9.14,0.02,0.00,-0.00
7.18,0.12,-0.48,-9.10,0.01,0.00,-0.01
7.24,0.14,-0.51,-9.12,0.01,0.00,-0.00
7.30,0.11,-0.46,-9.15,0.01,0.00,-0.00
7.35,0.12,-0.50,-9.11,0.02,0.01,-0.00
7.41,0.12,-0.50,-9.13,0.01,0.00,-0.00
7.46,0.12,-0.49,-9.10,0.01,0.00,-0.01
7.52,0.11,-0.49,-9.14,0.01,0.00,-0.00
7.57,0.12,-0.49,-9.14,0.02,0.01,-0.01
7.63,0.14,-0.48,-9.11,0.01,0.00,-0.01
7.69,0.12,-0.51,-9.15,0.02,0.00,-0.01
7.74,0.11,-0.49,-9.11,0.02,0.00,-0.01
7.80,0.13,-0.49,-9.13,0.02,0.00,-0.01
7.85,0.11,-0.48,-9.15,0.02,0.00,-0.01
7.91,0.13,-0.48,-9.10,0.02,0.01,-0.01
7.96,0.14,-0.49,-9.10,0.01,0.00,-0.01
8.02,0.13,-0.49,-9.11,0.02,0.01,-0.01
8.07,0.11,-0.51,-9.12,0.02,0.00,-0.01
8.13,0.11,-0.49,-9.15,0.02,0.01,-0.01
8.19,0.11,-0.49,-9.15,0.02,0.00,-0.01
8.24,0.10,-0.49,-9.14,0.01,0.00,-0.01
8.30,0.12,-0.48,-9.14,0.02,0.00,-0.01
8.35,0.13,-0.48,-9.15,0.02,0.00,-0.01
8.41,0.14,-0.46,-9.08,0.01,0.00,-0.01
8.46,0.13,-0.48,-9.15,0.01,0.00,-0.01
8.52,0.12,-0.49,-9.14,0.02,0.00,-0.01
8.57,0.12,-0.48,-9.12,0.02,0.01,-0.01
8.63,0.11,-0.52,-9.12,0.02,0.00,-0.00
8.69,0.12,-0.48,-9.14,0.01,0.00,-0.00
8.74,0.12,-0.48,-9.11,0.02,0.00,-0.00
8.80,0.11,-0.50,-9.14,0.02,0.00,-0.01
8.85,0.12,-0.48,-9.13,0.02,0.00,-0.00
8.91,0.12,-0.49,-9.13,0.01,0.00,-0.01
8.97,0.13,-0.48,-9.09,0.01,0.00,-0.01
9.02,0.11,-0.48,-9.14,0.01,0.00,-0.01
9.08,0.10,-0.51,-9.12,0.02,0.01,-0.01
9.13,0.11,-0.48,-9.15,0.01,0.01,-0.01
9.19,0.09,-0.51,-9.12,0.02,0.00,-0.00
9.24,0.11,-0.50,-9.12,0.01,0.00,-0.01
9.30,0.12,-0.51,-9.14,0.01,0.00,-0.01
9.35,0.12,-0.47,-9.12,0.02,0.00,-0.01
9.41,0.10,-0.48,-9.11,0.02,0.00,-0.01
9.47,0.12,-0.48,-9.12,0.02,0.00,-0.01
9.52,0.11,-0.48,-9.11,0.01,0.00,-0.01
