ax,ay,az
0.057113622018530597,-0.1726375238649382,0.978651387335731
0.05576344795553947,-0.17287651552659203,0.9782353170338168
0.05624544525500262,-0.1713672367670948,0.9781491606469126
0.05660351739774122,-0.17330470313384794,0.9784590098887583
0.05674082685864875,-0.17284449964757292,0.9759095033142752
0.07783635063213856,-0.1491442195522605,0.9687520237457387
0.5417491451860825,0.357764161317608,0.7401309392414357
0.5433098896154773,0.3585404271621396,0.7377226635289074
0.5458417285217276,0.3915533431735301,0.7344656662322905
0.547740104362497,0.41854171928778366,0.6666791972042729
0.5881630928246739,0.4198389335099593,0.6712232155819599
0.5729306621188499,0.4126066662862913,0.6794747415050456
0.6453200277407307,0.5068690347571759,0.5197898826870085
0.013307313157106163,-0.1431858656405791,0.9835804787278585
0.013554403768630333,-0.14053331425727672,0.9841037478150416
0.014167407997599548,-0.1420521767551366,0.9843223736299639
0.01318520317690529,-0.1406362577309036,0.9847879114931287
0.01447886574331751,-0.14220477397050776,0.983963082220867
-0.14119536897961044,0.06220487331555393,0.9153541141183775
-0.47070874011129915,0.4902680178060408,0.7699986288997404
-0.47055742061772393,0.491229797243886,0.7703883894433233
-0.47083014490509756,0.49037471311168657,0.7702550684471724
-0.4694037865547037,0.49229624435271396,0.7690702531085916
-0.46953686078158663,0.4882840592149121,0.7684177843434116
-0.4687607374779327,0.48919943054144,0.7715791392808687
-0.6514925534359587,0.744790264173722,0.3527782306016365
-0.6503529966784202,0.7430791263422849,0.36425349286527875
0.010443063360094634,-0.13994382926941032,0.9836604305848325
0.14734365558806475,-0.2734635296077682,0.9454894981974987
0.31250729713537817,-0.4815320151337371,0.8268227901711553
0.3906628270125416,-0.5738497128775616,0.7441279525166075
0.4455309340438322,-0.6473376920371997,0.6533504358669686
0.49647549630832055,-0.6965581845812818,0.5747166851415004
0.5357101335342924,-0.7363205823856945,0.49300126330327143
0.5655854732476682,-0.769724070249635,0.415329360670262
0.5898349442570631,-0.7941528152205614,0.3394474006086726
0.6111803424550452,-0.8145123216825122,0.2623655657441031
0.6264549485339126,-0.8266524275155049,0.18889312902973218
0.6387921851312022,-0.8377208194355588,0.10085809029019335
0.6396331467382317,-0.8452316406005754,0.019842027694887254
0.6413935075935959,-0.8435825288536412,-0.06385131701360824
0.00896446343311216,-0.11760229023079401,0.9881176379822564
-0.09542872033866275,-0.2348249834277786,0.9581609261412829
-0.2836706875476534,-0.38906115161351756,0.8614803661018405
-0.38155651518958794,-0.4612633761465376,0.7804330169346071
-0.45652951261396435,-0.5153148995099298,0.6976748838491764
-0.5120369187811777,-0.5548853178180199,0.6149208220615321
-0.5598500881371563,-0.5833295861223058,0.5410476561513351
-0.5746724843891616,-0.580899634238424,0.4423835212059554
